"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9"
"Fumarate_0",-0.00482997,-0.00210134,-0.00069587,-0.00711026,-0.00364283,-0.01247219,-0.01936228,-0.01739345,-0.00744449
"Fumarate_1",0.10718313,0.04663491,0.01544372,0.15778116,0.08083544,0.27679156,0.42944152,0.38579076,0.16511334
"Fumarate_2",-0.0022037,-0.00098738,-0.00032961,-0.0032076,-0.00163267,-0.0058315,-0.01050959,-0.00922157,-0.00400121
"Fumarate_3",-2.881e-05,-5.78e-05,-2.331e-05,1.528e-05,2.474e-05,-0.00029724,0.0673206,0.05382992,0.02518368
"Fumarate_4",0.00481254,0.00563035,0.00219024,0.00257756,-3.3e-07,0.02983919,0.02847497,0.01821636,0.00821411
"GABA_0",0,0,0,0,0,0,0,0,0
"GABA_1",0,0,0,0,0,0,0,0,0
"GABA_2",0,0,0,0,0,0,0,0,0
"GABA_3",0,0,0,0,0,0,0,0,0
"GABA_4",0,0,0,0,0,0,0,0,0
"Glutamate_0",0,-0.05026828,0,0,0,0,0,0,0
"Glutamate_1",0,0.83593101,0,0,0,0,0,0,0
"Glutamate_2",0,-0.01688123,0,0,0,0,0,0,0
"Glutamate_3",0,0.00019153,0,0,0,0,0,0,0
"Glutamate_4",0,-0.00014037,0,0,0,0,0,0,0
"Glutamate_5",0,0.00802208,0,0,0,0,0,0,0
"Glutamine_0",-1e-08,0,-1e-08,0,0,0,-2e-07,-1.5e-07,-9e-08
"Glutamine_1",4.9e-07,0,2.6e-07,0,0,0,9.68e-06,7.23e-06,4.31e-06
"Glutamine_2",2.6e-06,0,1.37e-06,0,0,0,5.133e-05,3.835e-05,2.288e-05
"Glutamine_3",-0.00012205,0,-6.437e-05,0,0,0,-0.00240888,-0.0017995,-0.00107354
"Glutamine_4",-0.00042523,0,-0.00022427,0,0,0,-0.00839303,-0.00626984,-0.00374042
"Glutamine_5",0.02074719,0,0.01094229,0,0,0,0.40949944,0.30590811,0.18249691
"Pyruvate_0",-1.021e-05,-5.29e-05,-5.842e-05,-0.00032412,-0.00094035,-0.00025605,-0.00015191,0,-0.00022421
"Pyruvate_1",0.00020739,0.00149776,0.00163821,0.00955614,0.02662478,0.00754928,0.0042919,0,0.00652558
"Pyruvate_2",0.00047991,0.00028895,0.00040223,-0.00019302,0.00513648,-0.00015248,0.00087884,0,0.00030477
"Pyruvate_3",-1.461e-05,9.21e-06,-1.269e-05,2.92e-06,0.00016376,2.31e-06,-2.794e-05,0,4.014e-05
"Succinate_0",0,2.55e-06,3.81e-06,-0.00326673,-0.00384913,-0.00304807,-0.00147323,-0.00122412,-0.00170217
"Succinate_1",0,-0.00010409,-0.00015005,0.06877515,0.08140431,0.06524593,0.03080988,0.02587258,0.03599215
"Succinate_2",0,-0.00031296,-0.00047762,0.01543801,0.01618232,0.00898179,0.00800349,0.00516548,0.00725611
"Succinate_3",0,0.01331365,0.01919462,-0.00048887,0.00310539,-0.00029214,-0.00025196,0.00245971,-0.0002309
"Succinate_4",0,-0.0005377,0.00237466,1.002e-05,-0.0001357,6.04e-06,5.15e-06,-0.00010264,4.74e-06
