Cluster Number,Color Value (Red),Color Value (Green),Color Value (Blue),ROI001,Total Pixels
1,74,180,139,1130,1130
2,217,27,98,724,724
3,101,158,135,1205,1205
4,18,240,61,754,754
5,138,142,83,1009,1009
6,117,124,150,918,918
7,163,68,179,1199,1199
8,102,183,58,924,924
9,125,129,208,910,910
10,78,153,201,1103,1103
11,168,92,114,877,877
12,53,166,196,1087,1087
13,59,210,77,949,949
14,140,90,203,1198,1198
15,188,55,139,1101,1101
16,147,112,147,1029,1029
17,114,92,214,947,947
18,23,219,123,1120,1120
19,93,121,214,1134,1134
20,39,196,161,1321,1321
